Date;Leads;Deals Closed;Conversion Rate;Revenue (k$);Usage (GB);Churn Rate (%)
31/01/2021;145;31;0.2138;58.58;5102;4.21
28/02/2021;159;45;0.2830;64.15;5066;4.89
31/03/2021;136;45;0.3309;71.92;5015;5.50
30/04/2021;154;40;0.2597;62.46;4931;5.87
31/05/2021;163;36;0.2209;69.35;4954;3.80
30/06/2021;160;42;0.2625;72.90;5078;4.50
31/07/2021;167;44;0.2635;74.35;5150;4.20
31/08/2021;150;39;0.2600;68.20;5030;4.80
30/09/2021;155;41;0.2645;70.45;5080;4.60
31/10/2021;165;48;0.2909;78.20;5175;4.10
30/11/2021;175;51;0.2914;82.70;5285;4.00
31/12/2021;190;55;0.2895;85.95;5400;3.95
31/01/2022;195;60;0.3077;90.10;5550;4.30
28/02/2022;185;58;0.3135;88.40;5520;4.50
31/03/2022;200;63;0.3150;93.60;5635;4.20
30/04/2022;210;65;0.3095;95.45;5700;4.00
31/05/2022;225;70;0.3111;100.25;5840;3.85
30/06/2022;235;75;0.3191;105.90;5905;3.80
31/07/2022;240;78;0.3250;109.35;6000;3.75
31/08/2022;245;80;0.3265;112.40;6105;3.70
30/09/2022;260;85;0.3269;118.50;6250;3.60
31/10/2022;275;92;0.3345;125.20;6380;3.50
30/11/2022;285;97;0.3404;130.90;6550;3.40
31/12/2022;300;105;0.3500;140.55;6700;3.35
31/01/2023;320;110;0.3438;145.10;6850;3.30
28/02/2023;350;118;0.3371;152.20;7100;3.25
31/03/2023;375;125;0.3333;160.40;7350;3.20
30/04/2023;400;130;0.3250;168.50;7600;3.15
31/05/2023;420;140;0.3333;175.80;7800;3.10
30/06/2023;440;150;0.3409;182.90;8000;3.05
31/07/2023;460;155;0.3369;188.50;8150;3.00
31/08/2023;475;160;0.3368;195.30;8300;2.95
30/09/2023;490;165;0.3367;202.40;8450;2.90
31/10/2023;520;175;0.3365;210.80;8700;2.85
30/11/2023;540;180;0.3333;220.00;8900;2.80
31/12/2023;565;190;0.3363;230.10;9150;2.75
31/01/2024;590;200;0.3389;240.30;9400;2.70
29/02/2024;620;210;0.3387;252.00;9600;2.65
31/03/2024;650;220;0.3385;265.50;9900;2.60
30/04/2024;680;230;0.3382;278.50;10200;2.55
31/05/2024;710;240;0.3380;292.00;10500;2.50
30/06/2024;735;250;0.3401;305.50;10750;2.45
31/07/2024;760;255;0.3355;315.60;11000;2.40
31/08/2024;780;260;0.3333;328.00;11250;2.35
30/09/2024;800;265;0.3313;340.50;11500;2.30
